發生地點,天候名稱,行動電話或電腦或其他相類功能裝置名稱,Date_ID,是否酒駕,死亡人數,受傷人數
高雄市,晴,0,20220425112000,0,1,0
新竹市,晴,0,20220425172000,0,1,0
臺中市,晴,0,20220425185800,0,1,0
臺北市,陰,0,20220426011400,0,1,0
新竹縣,晴,0,20220426063136,0,1,0
桃園市,晴,0,20220426063410,0,1,0
臺南市,晴,0,20220426074335,0,1,2
桃園市,晴,0,20220426085100,0,1,0
新北市,晴,0,20220426103400,0,1,0
花蓮縣,晴,0,20220426114000,0,1,0
彰化縣,晴,0,20220426170500,0,1,0
雲林縣,晴,0,20220427070400,0,1,0
嘉義縣,晴,0,20220427070543,0,1,0
臺南市,晴,0,20220427075400,0,1,0
嘉義縣,晴,0,20220427083000,0,1,0
宜蘭縣,晴,0,20220427140428,0,1,0
彰化縣,晴,0,20220427143000,0,1,0
臺南市,晴,0,20220427164013,0,1,1
南投縣,晴,0,20220427165955,1,1,0
臺南市,晴,0,20220427182000,0,1,1
彰化縣,晴,0,20220427210800,0,1,1
桃園市,雨,0,20220428050300,0,1,1
彰化縣,晴,0,20220428090500,0,1,1
高雄市,晴,0,20220428091300,0,1,0
高雄市,晴,0,20220428182200,0,1,1
臺中市,晴,0,20220428193800,0,1,0
高雄市,晴,0,20220428211300,0,1,1
苗栗縣,晴,0,20220429094046,0,1,2
臺中市,晴,0,20220429114500,0,1,0
高雄市,晴,0,20220429121000,0,1,0
嘉義縣,晴,0,20220430091600,0,1,0
嘉義縣,晴,0,20220430163400,0,1,0
彰化縣,晴,0,20220430233900,0,1,0
新北市,晴,0,20220501002400,0,1,2
屏東縣,陰,0,20220501012920,0,1,0
彰化縣,陰,0,20220501014800,0,1,0
高雄市,晴,0,20220501033500,0,1,0
苗栗縣,晴,0,20220501045420,0,1,0
臺南市,晴,0,20220501083609,0,1,0
高雄市,晴,0,20220501190300,0,1,0
臺中市,雨,0,20220501221500,1,1,1
屏東縣,晴,0,20220502004300,0,1,0
臺北市,雨,0,20220502032000,0,1,0
高雄市,陰,0,20220502054600,0,1,0
新竹縣,雨,0,20220502162610,0,1,0
屏東縣,雨,0,20220502162800,0,1,0
臺南市,雨,0,20220503075800,0,1,0
臺中市,晴,0,20220503161700,0,1,1
花蓮縣,雨,0,20220503202500,0,1,0
臺北市,晴,0,20220504074000,0,1,0
臺中市,晴,0,20220504101800,0,1,7
